;Speed;Pressure;Volume;Thickness;Resistance;Type;Def;Time;Cost
38;30,72099;137,9876;0,619148;84,90052;26,67351;A;0;1.368.671;168,48
39;32,96589;271,2407;0,00391;74,74752;56,13037;A;0;1.369.235;143,5216
40;16,11971;272,034;0,794927;82,89827;24,55591;A;0;1.781.012;162,1585
41;43,40418;428,5256;1,514184;99,97321;54,02;A;0;1.212.547;104,0172
42;40,56178;475,25;0,05858;94,46394;48,04819;A;0;1.235.769;101,5138
43;42,74878;395,9264;0,81187;70,28893;68,4879;A;0;120.997;116,309
44;37,92759;300,8532;0,139691;90,28666;29,74163;A;0;1.438.173;132,7967
45;37,49477;371,7259;0,209455;91,993;41,84751;A;0;1.230.833;119,4165
;;;;;;;;;
;;;;;;;;;
48;53,31295;417,5302;1,060369;85,16513;2.962.227;A;0;86,31471;88,67445
49;63,26836;354,2747;0,831466;77,53621;4.404.755;A;0;78,02108;102,5451
50;39,01718;120,0684;0,923925;94,42774;6.955.961;A;0;121,3451;155,9762
51;24,70431;417,2928;1,32368;84,26549;6.705.798;A;0;144,6453;112,0778
52;29,00291;514,5894;0,754702;94,08751;3.238.549;A;0;148,8611;98,78707
53;28,97802;291,779;0,03616;84,63785;5.309.866;A;0;135,163;147,1574
54;57,56353;458,6428;1,097148;88,87551;3.234.398;A;0;85,46185;94,57541
55;33,11087;306,1316;1,018096;91,92639;2.722.366;A;0;135,1884;128,9166
56;43,92137;312,6521;2,079999;82,8223;3.088.707;A;0;121,4421;126,0504
57;50,53746;151,1267;0,483019;98,03742;6.997.449;A;0;89,45328;130,0201
58;28,62889;244,9723;0,716467;82,27543;2.030.984;A;0;141,4748;151,2564
59;49,76296;303,2588;8,261041;98,39368;4.643.742;A;0;104,7616;116,3531
60;42,21819;471,224;0,83782;88,1242;3.974.029;A;0;119,4284;106,2476
61;46,89961;189,8001;0,0623;75,47227;2.960.811;A;0;100,5179;134,2793
62;45,79515;464,7495;8,596323;93,65423;4.242.175;A;0;100,2123;99,11064
63;18,81694;510,7881;0,887104;96,25809;444.447;A;0;160,8673;128,3172
64;32,507;171,9836;4,594769;78,1127;5.863.075;A;0;142,7936;151,8734
65;40,68353;290,2225;3,217644;85,88609;5.472.777;A;0;124,2671;134,3074
66;35,90415;190,5177;0,811687;99,29521;263.386;A;0;120,7035;150,8138
67;47,71426;312,4834;0,165636;77,07913;4.841.789;A;0;101,2266;118,8207
68;23,37081;529,1527;3,444388;83,71903;5.791.236;A;0;154,9473;115,3967
69;35,09084;602,5602;0,001647;87,17736;205.808;A;0;133,2995;84,00426
70;34,74328;267,8569;0,136573;93,49718;3.356.009;A;1;128,4304;139,972
71;27,45801;407,8319;2,302249;74,0706;4.469.794;A;0;139,5223;119,7827
72;53,52617;171,476;0,262028;83,5845;4.009.612;A;0;91,54605;140,7925
73;41,34301;544,448;0,31639;75,08101;5.884.482;A;0;116,5986;93,34768
74;54,17955;377,552;0,391371;78,39775;2.774.269;A;0;104,8473;106,9757
75;30,53904;442,6532;0,622441;78,30868;2.766.026;A;0;133,1613;111,8737
76;40,63335;319,3816;2,523557;83,92153;6.264.261;A;0;127,7064;121,9054
77;48,81017;86,19267;1,124881;79,7565;3.828.247;A;0;115,3883;161,0215
78;21,45868;200,075;3,251181;74,98966;658.425;A;0;161,7764;157,1986
79;17,19321;358,7493;2,16143;89,28392;3.511.067;A;0;158,7958;136,7504
80;29,99678;257,6271;0,941695;89,37374;6.568.944;A;0;153,5936;144,269
81;38,6482;379,4339;0,256508;90,08904;4.645.895;A;0;127,0995;111,849
82;44,48413;608,9564;0,40414;76,74008;4.697.787;A;0;117,5936;83,15744
83;35,5054;423,0632;0,962086;73,23395;3.579.069;A;0;133,6947;117,2664
84;49,70557;226,6917;1,409878;89,40057;4.836.215;A;0;103,3471;140,7584
85;44,16744;517,5107;0,042879;77,26306;5.710.049;A;0;100,0011;90,57332
86;38,49121;209,8894;0,355418;88,33247;4.209.229;A;0;119,9851;141,0109
87;39,47403;497,6495;2,201811;82,33108;2.714.569;A;0;116,1781;97,23126
88;17,33073;571,3788;3,924177;94,65986;2.865.534;A;0;170,0216;103,702
89;9,95959;555,7781;1,603535;81,15487;5.847.077;A;0;178,1585;116,5533
90;38,37371;384,5592;0,152709;90,87589;5.000.085;A;0;115,7167;125,5648
91;28,57181;253,8654;0,002512;94,40598;5.620.716;A;0;139,3222;147,9836
92;31,07096;177,7544;0,137758;83,7663;4.586.816;A;0;137,9382;160,872
95;33,60251;460,8292;0,137797;87,05904;2.109.123;A;0;125,2696;107,9741
96;26,55731;334,6634;0,118092;87,87318;406.418;A;0;146,8257;139,0031
97;61,39025;260,3494;0,719921;97,8433;399.522;A;0;76,21893;114,2776
98;26,56207;403,4702;0,52853;89,70996;2.299.892;A;0;143,3065;123,4674
99;32,2038;340,3309;0,133742;77,70185;4.628.493;A;0;137,7001;129,4539
100;36,74093;312,3703;0,899122;82,08208;3.590.658;A;0;126,0005;132,6969
101;37,06332;212,4686;5,753668;99,71583;6.931.731;A;0;123,2311;140,0391
102;37,27674;251,9594;0,04828;98,74065;5.456.454;A;0;119,3289;143,1665
103;52,13515;376,6587;1,373817;73,89961;5.765.121;A;0;99,80975;114,8161
104;43,7002;425,3273;0,588337;71,01762;4.000.485;A;0;113,7596;110,0496
105;36,36719;546,7151;2,174182;88,45304;3.742.738;A;0;122,1547;92,80563
106;30,16131;351,2317;0,45526;83,40468;3.862.369;A;0;138,1969;135,6433
107;26,86116;181,468;1,625877;83,53828;2.726.896;A;0;147,1841;156,2387
108;28,58082;308,5624;0,543182;83,15824;420.253;A;0;150,2122;138,829
109;51,23969;300,6776;0,861007;73,24349;5.149.386;A;0;97,97345;119,0936
110;58,72614;416,3986;1,473587;86,13602;5.941.999;A;0;77,13864;95,29293
111;38,90311;19,99515;2,593536;80,24243;3.889.732;A;0;128,3829;175,921
112;44,46446;273,9899;0,134862;70,43878;5.694.364;A;0;125,1572;131,0139
113;48,81444;292,8342;0,135659;74,36672;2.347.618;A;0;101,8862;126,583
114;44,2809;139,9677;1,184708;78,72913;2.009.502;A;0;113,4378;160,3537
115;;;;;;;;;
116;48,07478;376,5821;0,730948;87,35459;34.49958  A;;0;107,0028;115,0723
117;59,64624;506,1051;1,666834;92,21198;36.72795  A;;0;88,23382;79,81243
118;17,68086;153,2313;1,481196;86,05038;45.6249  A;;0;165,1348;165,3842
119;45,09688;333,8201;0,53599;74,25753;51.49528  A;;0;112,1671;130,3067
120;40,85861;303,3763;0,940453;86,5815;33.7157  A;;0;113,7344;129,2597
121;29,07077;460,3638;0,330741;77,21178;46.92207  A;;0;146,2351;109,0998
122;37,2313;269,8024;0,847515;94,32436;28.57488  A;;0;138,1211;136,8107
123;16,9938;82,24644;1,595715;93,28438;49.1286  A;;0;157,4643;182,952
124;35,75156;340,5224;1,087624;83,76492;33.46218  A;;0;127,1055;126,3487
125;35,59774;479,2123;0,001936;77,80526;20.28852  A;;0;127,7511;110,7492
126;43,29737;176,8115;0,675762;99,06622;25.70179  A;;0;105,7875;137,5886
127;22,71199;198,3558;0,089914;92,74008;69.60223  A;;0;160,4907;161,6116
128;50,73032;324,8859;3,929562;74,31574;33.11006  A;;0;103,4678;114,9281
129;47,81736;371,1575;1,456929;82,64693;60.42774  A;;1;108,138;110,1829
130;34,56208;480,3315;0,146364;99,69221;36.59593  A;;0;129,7036;104,9406
131;21,80018;435,8225;1,106391;91,10795;51.57225  A;;0;161,1932;126,4882
132;35,95257;212,2148;1,62472;79,86427;20.74735  A;;0;123,0449;139,8176
133;27,41658;378,3176;2,056841;83,22231;54.74578  A;;0;153,1982;117,8795
134;21,4874;488,9523;7,003591;87,24056;44.34345  A;;0;152,7121;115,8308
135;30,61944;267,3397;3,695125;77,10311;43.70544  A;;0;147,0856;149,9817
136;40,6005;362,6854;1,040627;86,56195;40.54025  A;;0;123,9561;118,1701
137;9,365232;265,4708;0,897333;91,12123;22.53643  A;;0;185,9109;167,4759
138;41,22131;511,2704;0,654435;80,35447;44.84027  A;;0;117,0249;92,00027
139;40,36315;413,4822;1,176584;97,90844;23.5515  A;;0;121,8312;105,9171
141;23,20471;361,7427;0,728482;91,40083;61.95866  A;;0;157,278;130,8516
142;15,02793;315,9224;2,771509;93,33232;28.42196  A;;0;162,995;147,932
143;44,53337;133,5076;0,263547;99,21116;53.11717  A;;0;109,6345;158,128
144;43,63298;456,4533;0,638978;74,86604;23.1185  A;;0;114,7143;106,3395
145;45,80385;252,9985;1,094591;88,17393;51.97682  A;;0;114,1491;137,6071
146;24,0187;204,4956;1,120317;85,72404;61.74672  A;;0;151,8016;158,3697
147;25,12407;326,7491;0,264951;92,12243;27.28752  A;;0;157,1903;127,5423
148;14,2256;437,3295;0,662133;70,68837;33.89582  A;;1;166,6761;134,2929
149;32,96396;279,0092;0,391289;79,94021;33.67251  A;;0;123,3051;131,1909
150;58,81429;519,3239;1,39042;75,59376;50.77259  A;;0;82,04491;74,42229
151;34,55259;301,7347;1,001422;79,70564;65.52267  A;;0;127,7737;130,3839
152;15,13309;143,0333;0,205481;79,17811;21.86251  A;;0;171,2193;170,5527
153;14,19398;300,8913;2,906296;91,35774;68.39282  A;;0;161,0713;146,9541
154;23,45863;335,1034;1,50381;91,18781;39.84272  A;;0;164,7723;139,6509
155;45,33198;416,0323;1,394267;71,46835;68.8232  A;;0;109,8357;111,953
156;42,44165;171,6803;0,089551;89,87077;54.96204  A;;0;108,2343;146,3734
157;45,25063;281,0216;0,052878;90,79909;47.79818  A;;0;116,7924;131,9046
158;47,06815;260,449;0,579159;82,63383;41.43266  A;;0;101,95;119,2433
159;14,79349;442,8609;0,852314;97,94639;52.54187  A;;0;175,2618;136,8001
160;34,70202;159,8842;0,029477;89,66908;49.34002  A;;0;125,0838;148,8955
161;29,14397;391,8954;0,016738;98,04415;28.53075  A;;0;134,7984;113,0234
162;36,26116;419,153;0,484802;87,97156;33.71328  A;;0;132,0661;116,8795
163;36,55113;625,0966;2,111647;99,11806;22.80087  A;;0;134,8454;86,35924
164;39,76884;438,1308;0,238811;77,44784;43.42671  A;;0;117,5759;104,6332
165;32,83306;203,8737;4,18139;92,83976;60.03275  A;;0;136,8763;147,6639
166;32,84693;227,9302;1,109604;84,89946;36.06993  A;;0;145,0603;146,8655
167;45,1546;410,1732;0,132558;91,78998;49.07557  A;;0;112,5844;109,0894
168;43,07006;294,629;6,490664;89,62365;54.34526  A;;0;112,5027;128,9713
169;39,05378;508,878;1,001538;94,97286;34.90634  A;;0;116,1004;98,19053
170;41,3413;227,8441;2,196532;76,07779;49.89906  A;;0;114,8723;141,6047
171;31,83491;250,553;1,37215;70,37514;54.42069  A;;0;129,7891;140,5501
172;45,67305;303,8097;0,611302;96,96854;31.78757  A;;0;108,6436;121,9325
173;40,29352;394,9283;3,035577;83,11003;40.43833  A;;0;115,5395;107,9393
174;20,98027;368,1746;0,000615;92,03995;63.92215  A;;0;156,1517;142,6152
175;17,09396;379,1868;0,191177;70,09687;60.90765  A;;0;161,4665;134,2359
176;38,33117;377,7331;0,630739;70,07126;21.13678  A;;0;126,9753;118,0088
177;59,72503;179,5678;2,974504;91,96236;49.66924  A;;0;84,6572;133,5713
178;36,96317;227,8869;1,467;76,07571;26.33714  A;;0;128,9234;144,4965
179;42,03539;292,7373;0,985162;91,14073;39.70164  A;;0;111,9167;134,9796
180;36,77243;168,1841;1,017053;91,88251;36.01612  A;;0;124,013;146,0464
181;46,24708;126,9071;3,042708;85,19591;52.3583  A;;0;99,15041;147,3739
182;49,99646;289,6866;0,550343;71,10232;63.06468  A;;0;90,38656;113,3985
183;20,22502;347,3017;0,381579;99,26557;20.11629  A;;0;162,6295;149,4257
184;32,86784;301,2616;3,159109;94,29059;66.30913  A;;0;127,9546;135,916
185;45,29027;187,22;1,211371;95,89001;41.77341  A;;0;114,882;142,429
186;35,91178;541,6092;3,411261;78,65861;45.85705  A;;0;128,9945;97,72898
188;30,77892;249,7775;6,201511;82,22524;52.04907  A;;0;131,2882;142,7438
189;21,95942;330,0988;0,174515;82,61089;67.70489  A;;0;151,4497;138,0016
190;22,12728;488,1201;0,071695;98,04394;41.90759  A;;0;159,4292;113,5189
191;10,24799;289,6747;0,859761;72,00982;28.95787  A;;0;172,7646;163,2838
192;34,41725;302,2517;0,013845;90,34424;47.84096  A;;0;129,3004;138,988
193;51,24648;356,5473;0,908021;80,93302;51.42383  A;;0;93,28993;106,2321
194;45,37502;345,07;0,002212;71,03849;39.39261  A;;0;110,3066;112,3171
195;44,89975;191,6781;2,510313;82,07996;52.67687  A;;0;107,034;143,8192
196;46,8731;558,6537;3,561926;83,86919;21.3999  A;;0;107,1194;82,02462
197;41,78529;276,8509;2,136785;97,80242;44.18675  A;;0;121,0022;136,1283
198;24,84132;365,6776;1,574774;83,65486;39.8757  A;;0;139,0761;131,486
199;13,90563;292,7967;3,888429;80,98969;61.00114  A;;0;176,7635;153,4174
200;32,20553;263,2367;2,994022;87,83154;49.85869  A;;0;133,5673;151,4754
201;27,88837;614,7831;0,243005;74,75572;59.82423  A;;0;139,6402;91,21713
202;42,59047;273,4304;0,108051;74,27036;26.3639  A;;0;120,7738;128,7231
203;31,27744;385,2691;2,892042;94,58593;58.74642  A;;0;143,5921;125,4919
204;16,13899;365,3034;0,15094;76,77689;43.10359  A;;0;161,8077;147,079
205;51,68121;119,2874;0,626857;99,60733;59.80581  A;;0;96,38462;156,0261
206;16,21373;357,7309;2,517591;85,3972;34.9201  A;;0;161,4602;143,8152
207;44,81024;335,3049;0,20845;95,38038;30.10692  A;;0;115,5054;121,3069
208;42,5269;410,9063;0,071445;70,33889;30.59188  A;;0;113,8663;99,47827
209;28,47176;259,8151;1,705249;75,50804;33.96823  A;;0;141,3973;149,7567
210;27,60719;163,2323;0,141775;90,96917;40.29244  A;;0;150,7494;165,255
211;21,89964;237,7329;2,275118;95,10139;54.64829  A;;0;157,6922;156,5716
212;24,36434;159,2292;0,13748;85,09819;34.96876  A;;0;156,3563;161,667
213;11,86541;458,1517;0,139073;82,61564;27.2376  A;;0;177,6795;123,3421
214;55,17103;361,0019;0,217963;72,35157;51.29854  A;;0;91,66245;108,1616
215;34,05036;202,6764;2,658883;73,06776;20.755  A;;0;125,0373;142,082
216;32,76317;336,7945;0,695041;90,80376;56.45564  B;;0;109,4743;127,3604
217;38,38067;403,0779;0,222235;97,10512;26.11879  B;;0;101,9138;113,0055
218;50,28405;345,0548;0,7837;91,78958;60.32658  B;;0;77,15251;96,82615
219;33,31297;398,948;5,237204;82,46859;59.3027  B;;0;108,7604;123,5932
220;30,31811;454,0549;0,398834;85,13644;26.03967  B;;0;118,1988;112,61
221;44,8688;272,1883;2,370916;76,493;26.96434  B;;0;80,90311;116,9963
222;39,33157;357,8864;2,736509;96,97836;29.61313  B;;0;96,39448;107,267
223;20,19549;257,9622;2,468715;79,05896;62.39162  B;;0;132,1382;147,8408
224;31,9718;411,6219;0,171038;92,03734;42.94718  B;;0;108,2264;112,5957
225;35,80413;358,1192;0,259994;82,44601;63.85178  B;;0;101,8936;111,751
226;47,84877;189,9747;3,813171;73,72163;29.01399  B;;0;80,80349;134,7368
227;23,27069;422,7726;3,218405;97,01323;54.50389  B;;0;129,9424;123,2528
228;43,30646;391,0816;0,341281;79,65643;68.94678  B;;0;93,5329;104,6414
229;15,02603;174,8232;0,41282;73,66721;64.69239  B;;0;142,0485;155,5688
230;21,10207;217,5696;4,294985;80,61078;63.32055  B;;0;136,7469;150,0094
231;32,81877;262,6444;0,893063;72,9712;62.01271  B;;0;105,1255;138,4998
232;35,69015;410,5447;0,306389;70,03414;38.70816  B;;0;104,3322;113,3217
233;21,05696;577,6421;1,444087;97,68363;39.85373  B;;0;134,9572;99,4216
236;32,56199;158,3145;2,490457;78,1271;67.82556  B;;0;107,2572;156,4942
237;12,46711;383,9628;3,987875;74,33148;33.84083  B;;0;149,5521;130,5414
238;21,68023;219,065;0,581092;83,7748;51.86686  B;;0;130,9708;159,1167
239;21,19021;181,7042;0,870721;96,16691;63.46121  B;;0;131,494;148,0771
240;34,5772;279,7946;4,685861;86,23434;54.74678  B;;0;105,8313;130,6271
241;21,68691;458,2339;0,296927;80,54977;32.70951  B;;0;134,4783;114,9169
242;40,45647;477,7643;0,924199;93,46142;38.18258  B;;0;96,5113;90,55258
243;24,24749;184,6113;0,344782;70,72354;25.67036  B;;0;124,6203;145,806
244;33,20917;378,4867;0,600159;92,5682;23.89612  B;;0;103,3441;111,6633
245;40,92038;257,5953;0,289506;97,80499;53.15027  B;;0;95,38434;142,2241
246;38,9183;233,0707;0,1117;95,26258;38.39328  B;;0;100,6786;135,2506
247;34,97489;118,4603;6,514738;93,471;55.01131  B;;0;111,0555;157,4277
248;23,06717;234,3316;2,943551;85,36508;55.54733  B;;0;129,995;149,091
249;34,19205;343,2545;0,088523;95,01363;59.26229  B;;0;105,5734;118,6947
250;35,25457;436,1249;0,081778;83,00234;37.64675  B;;0;101,7199;116,547
251;39,28676;355,6456;1,492846;73,22658;45.11096  B;;0;89,92378;112,1832
252;37,07399;334,0539;5,109104;71,55513;66.61643  B;;0;99,4679;118,9524
253;23,03115;40,7877;1,490048;92,90773;26.0006  B;;0;123,2321;171,3174
254;34,51097;468,0103;1,183454;75,59234;27.4908  B;;0;105,2984;97,95338
255;36,58536;217,772;0,778871;73,1479;60.0516  B;;0;103,1499;133,0917
256;31,28839;491,156;2,085796;85,86771;43.3389  B;;0;110,4301;103,0717
257;44,1216;435,9028;0,248681;78,68013;65.39379  B;;0;89,24733;93,93834
258;41,74052;248,297;0,434913;85,7563;46.34374  B;;0;90,59764;126,342
259;37,15782;288,4909;0,202662;91,97107;24.61893  B;;0;98,99831;118,8372
260;12,17214;394,1267;0,760981;90,34542;59.63008  B;;0;147,0238;129,433
261;32,33073;185,6491;0,974315;83,76268;29.96144  B;;0;110,9581;151,4592
262;49,88874;159,3447;1,200611;74,58625;60.10803  B;;0;73,73205;123,0072
263;45,26529;315,5409;0,903565;93,23371;48.2328  B;;0;87,41086;112,055
264;44,31269;140,3023;4,779784;89,72356;31.09752  B;;0;87,45841;150,4609
265;40,13942;235,7945;0,593756;73,33241;65.05332  B;;0;99,68101;125,3292
266;11,83964;134,3315;2,4759;73,48572;65.32253  B;;0;155,4947;170,7019
267;45,38937;554,1027;0,001059;80,2691;64.58696  B;;0;83,45109;84,7922
268;30,27268;339,4724;0,641686;82,46687;59.14764  B;;0;114,0423;126,005
269;47,47518;186,6445;1,107172;90,79286;60.29291  B;;0;77,42785;128,3455
270;42,57244;220,7863;1,169147;73,22746;46.75872  B;;0;88,28104;130,0706
271;31,65011;189,8014;1,888846;99,2529;56.38937  B;;0;119,2768;147,0145
272;35,18534;262,5734;0,016009;79,08562;53.85355  B;;0;110,5902;138,5293
273;25,38762;260,9948;0,235998;72,81341;22.31277  B;;0;127,7783;142,8117
274;38,47065;155,628;1,582496;95,68019;61.92773  B;;1;93,12286;149,8233
275;27,95179;389,17;0,189828;70,99508;65.2782  B;;0;113,4777;117,2021
276;32,10192;440,5407;0,021653;90,02962;62.09292  B;;0;107,7124;105,1982
277;30,70433;439,2599;0,033956;99,16539;61.03436  B;;0;115,2252;118,6105
278;46,46307;378,3846;3,779481;91,88763;52.99808  B;;0;84,10181;97,50487
279;27,86259;576,6592;11,77969;87,44717;52.67114  B;;0;119,8004;85,6732
280;40,48565;273,733;3,042744;98,38745;45.46141  B;;0;94,58185;124,5677
283;27,81409;310,8256;0,035401;84,37673;65.67678  B;;0;124,128;132,3404
284;50,16049;227,0947;0,527151;89,82238;46.08192  B;;0;73,72958;122,8682
285;31,21585;374,6281;0,134907;86,16376;26.66964  B;;0;113,1798;120,7798
286;37,214;331,7264;0,61285;79,22909;37.7385  B;;0;100,2621;105,1427
287;49,33043;435,1586;0,182124;95,59198;49.46751  B;;0;75,94144;92,26706
288;22,02417;363,6802;0,286026;86,13366;61.94847  B;;0;132,6823;129,9313
289;31,60748;165,8975;5,681823;84,34143;41.73699  B;;0;111,788;141,7611
290;46,05815;188,7778;2,047812;86,13244;29.27804  B;;0;82,10274;129,8957
291;66,32945;464,9328;2,679192;73,38039;47.61772  B;;0;45,54439;68,06295
292;28,16723;255,5058;1,382967;71,1107;35.50944  B;;0;115,2755;132,8434
293;55,31978;422,4094;1,999731;95,01483;66.26347  B;;0;68,53309;81,48343
294;40,99736;380,7637;0,057796;90,55564;31.9418  B;;0;97,67702;110,9467
295;28,05075;427,2392;1,672998;86,82556;38.75844  B;;0;121,1998;114,018
296;44,56422;213,0225;0,308138;82,16034;64.98788  B;;0;87,08023;120,0138
297;38,42076;246,1678;0,402841;92,78724;39.09036  B;;0;93,45573;133,6071
298;28,61346;206,8264;1,451683;79,76367;39.52468  B;;0;120,319;150,382
299;42,19513;306,9956;0,242236;78,02421;21.24365  B;;0;90,11561;121,6387
300;34,11781;420,0908;0,028203;91,49222;40.67107  B;;0;105,0041;111,7831
301;27,02785;242,0842;0,042671;85,00217;23.5014  B;;0;117,0039;139,7808
302;27,15333;347,3297;2,07094;91,49462;48.5771  B;;0;121,7743;120,5245
303;42,63821;325,9589;0,106805;73,22966;67.16424  B;;0;87,82465;112,1917
304;30,95649;210,2067;0,113035;74,70583;46.44522  B;;0;114,9615;137,0037
305;22,7026;301,8861;1,371581;81,23545;41.59776  B;;0;131,4164;135,5795
306;31,61962;277,0242;0,392103;89,84748;42.3752  B;;0;109,009;146,0765
307;27,00924;128,2748;0,687775;78,21169;65.35028  B;;1;122,284;153,807
308;26,08424;390,7749;0,020193;85,2561;62.45338  B;;0;120,9601;113,1349
309;31,87723;509,3004;0,692831;88,53362;51.61915  B;;0;111,1146;84,96301
310;41,82845;459,1357;1,993048;79,62674;56.35359  B;;0;89,70826;96,2187
311;32,53244;241,1861;1,313748;97,10055;30.48576  B;;0;113,9684;135,0118
312;17,87446;255,9479;1,420852;76,66519;24.91208  B;;0;139,9577;155,4227
313;45,25465;543,9387;4,437245;92,44098;60.58433  B;;0;86,07385;82,55132
314;51,62101;278,7119;1,260741;99,06194;21.68234  B;;0;76,14402;118,6662
315;41,3598;453,3125;1,434479;80,73208;45.83458  B;;0;88,04383;100,4234
316;35,07303;410,6758;5,318152;96,57455;58.88041  B;;0;102,7564;109,4813
317;37,73215;458,7473;0,465483;76,98002;42.64704  B;;0;105,4747;98,63831
318;34,42598;522,4546;0,276133;77,40797;34.12238  B;;0;105,5074;89,55427
319;27,7974;362,3347;2,003103;78,44412;36.59217  B;;0;122,9992;129,5951
320;32,66107;607,9533;0,801809;81,16864;24.98463  B;;0;113,2809;84,07162
321;35,75977;420,4427;0,898754;90,5853;20.05887  B;;0;103,0928;111,2259
322;32,04593;307,2527;0,506938;81,25198;61.55763  B;;0;107,312;122,4481
323;27,81472;302,5577;0,580128;87,65119;52.77332  B;;0;117,7678;130,0454
324;29,78333;564,3031;0,323391;99,83988;37.64799  B;;0;110,0869;86,50234
325;31,87959;441,9648;0,001578;95,34894;24.18331  B;;0;113,2612;106,2433
326;39,28964;350,5318;0,655849;89,44198;45.31837  B;;0;90,78189;105,5919
327;26,3581;479,6938;0,817634;79,52589;69.44054  B;;0;125,5843;102,9991
330;16,27029;583,3153;1,554333;74,52482;24.58942  B;;0;140,1939;99,00421
331;35,80433;344,7562;2,472284;77,11012;50.56593  B;;0;107,1478;119,5698
332;51,37539;405,5203;0,108068;87,99803;25.92972  B;;0;70,97229;96,40654
333;30,61659;303,2803;2,251727;72,70421;58.25291  B;;0;115,3832;126,1751
334;30,53137;165,1575;0,222993;73,30774;24.77414  B;;0;110,9957;154,2446
335;49,53634;240,2173;1,494714;73,92674;41.74853  B;;0;73,13012;121,1466
336;35,21708;382,999;0,563849;76,52197;30.58476  B;;0;107,9597;116,3632
337;39,70874;361,4876;0,648744;81,70097;56.07204  B;;0;97,83941;121,0553
338;57,85477;392,6078;1,146321;90,19652;51.66992  B;;0;57,64043;92,32997
339;46,26707;391,7806;3,681256;88,11212;56.75821  B;;0;76,15669;96,5717
340;51,54098;163,0349;2,039915;81,09606;25.63426  B;;0;70,59874;127,2797
341;66,78124;540,8796;2,306746;92,45282;30.8292  B;;0;40,9888;55,92469
342;34,75343;354,9305;1,308329;88,52721;60.58274  B;;0;105,5797;112,6082
343;28,15778;424,2373;0,782911;83,49035;69.6109  B;;0;118,751;111,3392
344;29,6724;415,4482;0,571913;89,82565;35.82879  B;;0;116,1025;103,6981
345;29,84578;309,0743;3,493622;97,43479;68.68774  B;;0;118,3283;132,4284
346;36,71535;407,8505;0,368383;85,9872;53.1818  B;;0;102,4501;117,1112
